angDist,_RAJ2000,_DEJ2000,GaiaEDR3,RA_ICRS,DE_ICRS,GLON,GLAT,Plx,GMAG,Gmag,BP-RP,E(BP/RP)c,pmRA,pmDE,RUWE,Rpm,f_Plx,f_pm,_RA.icrs,_DE.icrs,_RAJ2000.1,_DEJ2000.1,P-M-F,SDSSJ,SNg,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,E(B-V),PM,GLON.1,GLAT.1,Type,Sp,_RA,_DE
0.177548,326.3629124247189,12.8821736052619,1767215833547586176,326.36291242472,12.88217360526,68.4353917653692,-29.70836472002763,0.2121950277532416,,18.065853,-0.24587631,,-9.186634945829413,-12.269056487014758,1.0182415,13.993171690565998,0,1,326.36291242472,12.88217360526,326.3629583,12.8821944,0732-52221-0622,214527.11+125255.98,18,17.837,0.022,17.977,0.015,18.237,0.015,18.487,0.014,18.612,0.036,0.125,14.8,68.4,-29.7,DB,Sp,326.36296,12.88219
0.198368,329.2949051709453,12.7582034591933,1767729168038642048,329.29490517095,12.75820345919,70.59392120732802,-31.88822417109404,0.6698647734618766,,19.720675,-0.47122955,,-10.62164595747384,-12.77169435013463,1.0029349,15.822693556967804,0,1,329.29490517095,12.75820345919,329.2949583,12.7582222,0734-52224-0385,215710.79+124529.69,7,19.516,0.026,19.585,0.021,19.933,0.019,20.212,0.029,20.395,0.1,0.083,19.8,70.6,-31.9,DA,Sp,329.29496,12.75822
0.146781,73.9281161019578,-4.4136508955248,3212596298589400832,73.92811610196,-4.41365089552,203.08615646926197,-27.66856211661843,1.9048383612371556,,20.080288,0.13992119,,7.219302526435735,-3.440655066098484,0.978034,14.59499856864717,0,1,73.92811610196,-4.41365089552,73.928125,-4.4136111,3209-54906-0285,045542.75-042449.07,17,24.635,0.766,19.571,0.829,19.571,0.829,19.245,0.605,22.827,1.11,0.037,0.0,203.1,-27.7,DA,Sp,73.92812,-4.41361
0.103193,213.5836038460997,17.8980760069721,1233550135381147264,213.5836038461,17.89807600697,11.479379926603064,68.78867032379578,0.9991315941346848,,19.41932,-0.43835068,,-7.678667834603708,-4.966974608502246,0.96725106,14.22526045538547,0,1,213.5836038461,17.89807600697,213.583625,17.8980556,5459-56035-0506,141420.07+175353.02,15,18.776,0.02,19.678,0.019,19.678,0.019,20.034,0.031,20.204,0.137,0.019,9.3,11.5,68.8,DA,Sp,213.58362,17.89806
0.174587,213.9172093749515,18.5013350565842,1233856486808206976,213.91720937495,18.50133505658,13.363090045975174,68.79993828795163,0.8627759472442863,,18.494125,-0.3629837,,-6.302062134073493,5.887831528921462,1.0492942,13.172802991785275,0,1,213.91720937495,18.50133505658,213.91725,18.5013056,5895-56046-0248,141540.14+183004.79,28,18.222,0.018,18.69,0.014,18.69,0.014,19.015,0.018,19.345,0.068,0.021,8.8,13.4,68.8,DA,Sp,213.91725,18.50131
0.101996,278.7449286263981,41.1261841096812,2110421722369120512,278.7449286264,41.12618410968,69.66623054879855,20.36569481555982,1.1907425921623933,,19.276361,-0.25255775,,-5.574829224190669,5.750783468342615,0.89930487,13.79435708691857,0,1,278.7449286264,41.12618410968,278.7449583,41.1261667,2819-54617-0233,183458.79+410734.25,15,18.762,0.011,19.511,0.013,19.511,0.013,19.844,0.023,20.236,0.112,0.053,3.2,69.7,20.4,DA,Sp,278.74496,41.12617
0.074416,279.5516962858727,41.1433425139419,2110597128833849984,279.55169628587,41.14334251394,69.89396864897043,19.796700436192097,0.809549571856416,,19.3199,-0.3910122,,3.1440663478332374,-4.486895695016344,0.97831726,13.013332779502887,0,1,279.55169628587,41.14334251394,279.5517083,41.1433611,2819-54617-0159,183812.41+410836.10,14,18.787,0.012,19.554,0.015,19.554,0.015,19.872,0.024,20.238,0.122,0.064,9.0,69.9,19.8,DA,Sp,279.55171,41.14336
0.104596,24.5530184271206,1.0640451990299,2510507134400355328,24.55301842712,1.06404519903,146.57089822826646,-59.64366568395576,0.4378809613208135,,18.110249,-0.5289459,,-5.738819069714856,-14.608247406049406,1.011442,14.089063568098284,0,1,24.55301842712,1.06404519903,24.5530417,1.0640278,4231-55444-0591,013812.73+010350.56,34,17.449,0.028,17.935,0.022,18.412,0.017,18.782,0.026,19.091,0.059,0.027,20.8,146.6,-59.6,DA,Sp,24.55304,1.06403
0.112013,212.7234404596995,64.4878587488529,1667949106293194240,212.7234404597,64.48785874885,109.619625192867,50.53705953987006,0.6710027646345096,,19.285679,-0.19317245,,0.8640750620459008,-2.6593289973587204,1.0132896,11.518509125202613,0,1,212.7234404597,64.48785874885,212.7234583,64.4878889,7123-56726-0734,141053.63+642916.40,10,18.973,0.02,19.468,0.025,19.468,0.025,19.771,0.026,20.094,0.104,0.013,1.6,109.6,50.5,DA,Sp,212.72346,64.48789
0.066799,200.0763318838274,63.4046898537269,1664079753076536576,200.07633188383,63.40468985373,117.51686504461463,53.41900191640533,0.9036561117808912,,19.236492,-0.7051449,,-1.9338540047601016,-1.2504879282578891,1.0520301,11.047900899386017,0,1,200.07633188383,63.40468985373,200.0762917,63.4046944,0603-52056-0229,132018.31+632416.99,10,18.517,0.032,19.489,0.021,19.489,0.021,19.951,0.033,20.432,1.014,0.016,3.2,117.5,53.4,DA,Sp,200.07629,63.40469
